como qualquer adolescente , so quer que gostem dela e ser aceite .	and like any teenager , she just wants to be liked and to fit in .
penso que um grande exemplo disto e o novo programa de expansao de saude da etiopia .	i think a great example of this is ethiopia 's new health extension program .
um destes e raspadinhas de obras-primas .	one of these is scratch-off masterpieces .
muitas pessoas diriam : bem , e muito facil .	many people would say , well , that 's very easy .
e esta a sua relevancia no que diz respeito a conversa sobre o ambiente .	this is their kind of resonance for the conversation around the environment .
ele nao estava ali para matar , ou para mutilar a gill hicks .	he did n't set out to kill or maim me , gill hicks .
foram espezinhadas ate a morte .	they have been stomped to death .
isto aconteceu perto do natal .	this happened around christmas .
ha algo em mim que se solta .	something in me loosens .
desde nao ter valvulas de travagem ate a total recuperacao — cinco dias .	from having no braking valves to complete recovery in five days .
fazer testes e stressante , mas marcar respostas multiplas numa folha de teste nao impede que as balas estourem .	taking tests is stressful , but bubbling in a scantron does not stop bullets from bursting .
entao abordamos os partidos politicos tradicionais , oferecemos-lhes o democracyos e dissemos :	so we reached out to traditional political parties and we offered them democracyos .
normalmente , pensa-se que e uma emocao que vem por piedade .	often it 's thought that that 's an emotion that comes up out of pity .
o que e que quero dizer por bem suportados ?	now , what do i mean by well motivated ?
e custa 855 milhoes de dolares	it cost 855 million dollars .
aparentemente , ocorre muita apofenia no nosso hemisferio direito .	our right hemisphere appears to be where a lot of this patternicity occurs .
entao , e realmente o terrorismo que estamos a evitar ?	so is it really terrorism that we 're stopping ?
temos numeros locais acessiveis a ¾ de mil milhoes de pessoas no planeta .	we have local numbers accessible to three quarters of a billion people on the planet .
e por isso que estamos a mudar a nossa percepcao sobre os insectos .	that 's why we 're changing the perception of insects .
mas existem programas excelentes para adolescentes que estao no limiar do acolhimento e 30 % das criancas que vao para o acolhimento sao adolescentes .	but there are great programs for adolescents who are on the edge of care , and 30 percent of kids going into care are adolescents .
mas eu continuei a sonhar .	but i kept dreaming .
por que nao apoiamos o processo da maior tregua global ?	why do n't you support the process of the largest ever global truce ?
estao tentar trazer ordem ao caos .	they 're attempting to bring order to chaos .
mas talvez o exemplo mais surpreendente de como as pessoas estavam empenhadas em ajudar-me a ler o mundo , tenha surgido ja no final da minha jornada , quando tentei encontrar um livro da pequena e lusofona ilha africana de sao tome e principe .	but perhaps the most amazing example of the lengths that people were prepared to go to to help me read the world , came towards the end of my quest , when i tried to get hold of a book from the tiny , portuguese-speaking african island nation of sao tome and principe .
os nossos esgotos estao-se a desfazer .	our sewers are crumbling .
`` ele desenha muito bem paus . '' '' ( risos ) o que foi um dos melhores elogios de sempre . ''	`` he draws sticks real good . '' '' ( laughter ) which is one of the best compliments ever . ''
e mais co2 do que a cidade de nova iorque gera num ano .	that is more co2 than what the entire city of new york generates in one year .
esta como que a surfar num campo magnetico na crista de uma onda .	it 's sort of surfing on a magnetic field at the crest of a wave .
ha uma excecao , e e uma curiosidade : e o quadrilatero que vai de cuiaba a buenos aires , de sao paulo aos andes .	there is an exception , and it 's curious : it 's the quadrangle that ranges from cuiaba to buenos aires , and from sao paulo to the andes .
e depois se analisarmos corais mais proximos dos dias de hoje , ou se mergulharmos ate la hoje e medirmos a quimica dos corais , vemos que passamos para uma posicao na qual pode haver trocas de carbono .	and then if we analyze corals closer to the modern day , or indeed if we go down there today anyway and measure the chemistry of the corals , we see that we move to a position where carbon can exchange in and out .
e enorme , tem o tamanho de um frigorifico .	it 's huge .
quando finalmente consegui abrir os olhos , consegui registar este momento .	by the time i managed to open my eyes , i had documented this moment .
sao coisas que as minhas criancas nao tem .	these are things my kids do n't get .
mas nao queremos um problema qualquer , queremos os mais dificeis que podemos encontrar , queremos aquele que , se for resolvido , tem um ligeiro fator de estupefacao .	but we do n't want just any math problem , we want the hardest ones that we can possibly find , and we want the one that if you solve it , there 's a little bit of a wow factor .
e , portanto , se eu vos fosse dar o final desta historia , seria qualquer coisa como isto : e foi isso que , em ultima analise , me levou a falar para vos , aqui na ted , sobre a historia .	and so if i were going to give you the ending of this story , it would go something like this : and that 's what ultimately led me to speaking to you here at ted about story .
podemos fazer imensas coisas com o material .	we can do a lot of things with the material .
nascera no campo rashidieh para refugiados palestinos que e onde ainda vive .	he was born in the rashidieh camp for palestinian refugees , and this is where he still lives .
quais seriam os produtos deste novo tipo de agricultura ?	and what would be the products of this new type of agriculture ?
obrigado .	thank you .
`` o investigador brene brown disse , e eu cito : `` '' a vergonha nao sobrevive a empatia '' '' . ''	`` researcher brene brown said , and i quote , `` shame ca n't survive empathy . '' ''
deixem-me dar-vos um exemplo muito recente , como talvez , na semana passada .	let me give you a very recent example , as in , like , last week .
o simbolo da porta parece-se com duas portas de um saloon do faroeste .	the symbol of the door looks like a pair of saloon doors in the wild west .
esta zona com a forma de um copo e o que chamamos a zona optima .	that horn-shaped region is what we call the sweet spot .
olhem para o mundo .	look at the world .
e entao estas mentiras estao a ser usadas por pessoas para criar uma reserva , como o mordomo costumava fazer , entre nos e as ligacoes com todas as outras pessoas .	and so these lies are being used by people to create a buffer , like the butler used to do , between us and the connections to everybody else .
sera muito mais facil se passarmos de carne , de carne de vaca , a insectos .	we could much better change from meat , from beef , to insects .
e na verdade , se compararmos isso com os dados , encaixa muito bem com o desenvolvimento das cidades e das economias .	and in fact , if you compare it to data , it fits very well with the development of cities and economies .
todos : eu sou mais do que os meus genes .	everybody : i am more than my genes .
levei-o a empresa do paul maccready , a aerovironment para um estudo de viabilidade , e eles analisaram-no , e tiveram uma serie de ideias inovadoras sobre a sua propulsao .	i brought it to paul maccready 's company aerovironment to do a feasibility study , and they analyzed it , and came up with a lot of innovative ideas about how to propel it .
a crise economica global reacendeu o interesse publico naquela que e talvez uma das questoes mais antigas em economia , que remonta a , pelo menos , antes de adam smith .	the global economic financial crisis has reignited public interest in something that 's actually one of the oldest questions in economics , dating back to at least before adam smith .
ela podera ter ainda muito para aprender neste mundo , mas ja e especialista numa tarefa muito importante : dar sentido ao que ve .	she might still have a lot to learn about this world , but she 's already an expert at one very important task : to make sense of what she sees .
e tem sido etiquetadas , e tem sido encontradas com 70 anos de idade .	and they 've been tagged , and they 've been found to be 70 years old .
ira parecer-se um pouco com isto .	it 's going to look a little bit like that .
bom , nos podemos fazer isso por nos proprios .	well , we can do that for ourselves .
isto nao e incrivel ?	is n't that mind-blowing ?
dh : era a ted .	dh : it was ted .
e no entanto estas sao as mesmas qualidades pelas quais homens e mulheres tem sido honrados atraves de geracoes .	and yet these are the very qualities for which men and women have been honored throughout the generations .
bem , eu culpo a rainha .	well , i blame the queen .
franz kafka considerava incompleto o que outros consideravam obras dignas de elogio , de tal modo que queria que todos os seus diarios , manuscritos , cartas e ate mesmo rascunhos fossem queimados depois de ele morrer .	franz kafka saw incompletion when others would find only works to praise , so much so that he wanted all of his diaries , manuscripts , letters and even sketches burned upon his death .
assim , nao nos aposentamos .	so we did n't retire .
e agora ?	now what ?
bem , a 10 segundos por 3.000 carros , da 8.3 horas por dia . o salario medio nos e.u.a .	well , at 10 seconds per 3,000 cars , that 's 8.3 hours per day . the average wage in the u.s .
obrigado .	thank you .
`` o mais provavel e que fizeram o mesmo que o sr. domingos : `` '' ah ! o que e isto ? nao estou a perceber , vai para o lixo '' '' . ''	`` they most likely did the same as mr. domingos : `` '' ah ! what 's this ? i 'm not understanding , it 's going to the garbage '' '' . ''
a questao e que e ligeiramente perigosa .	the thing is , is that it 's slightly dangerous .
nao sei para que , mas tem um .	don’t know what they do with that , but they have one .
conversem com um astrofisico :	talk to any astrophysicist .
muitos destes sistemas tem o efeito contrario .	a lot of these systems have the converse effect .
como muitos dos que vivem entre o oriente e o ocidente , eu fui levada , ao longo dos anos , a tentar entender melhor as minhas origens .	like so many who straddle east and west , i 've been drawn , over the years , to try to better understand my origins .
( aplausos ) chris anderson : muito obrigado .	( applause ) chris anderson : thank you so much .
mas o que e muito impressionante e que , do nosso ponto de vista , podemos ver sempre a terra .	but what 's very impressive is that , from our vantage point , we can always see the earth .
`` `` entao bob , diga-me honestamente : o que acha do meu produto ? '' ''	so bob , just tell me honestly , what do you think of my product ?
e em ultimo lugar , eu acho que o publico pode tornar o mundo num sitio melhor desligando os seus telefones , afastando-se dos seus ecras , e entrando no mundo real , alem da sua zona de conforto .	and then lastly , i think that audiences can make the world a better place by switching off their phones , by stepping away from their screens and stepping out into the real world beyond what feels safe .
( audio ) mary tinha um cordeirinho ! cordeirinho ! cordeirinho !	( audio ) mary had a little lamb ! little lamb ! little lamb !
na verdade , eles resolveram o caso mais eficazmente .	actually , they solved the problem quite a lot more effectively .
chama-se uma prisao .	it 's called a prison .
existe um novo microbio , eu descobri-o .	there 's a new microbe , i just discovered it .
bem , todos nos aqui , aposto , tivemos alguns professores excelentes .	well , all of us here , i 'll bet , had some great teachers .
sentiam-se tao enjoados que voltavam para os hoteis a pe .	they were too nauseous , so they 'd walk back to their hotels .
podem ver que mais de 200 pessoas deram-lhe uma classificacao ed 4.99 em 5 .	you can see that over 200 people have given him an average rating over 4.99 out of 5 .
mas nao e legal transportar os livros de espanha para a america latina .	but it 's not legal to transport the books from spain to latin america .
atualmente , guardam algumas sementes do ano anterior e semeiam-nas manualmente com uma enxada .	currently , they take a little bit of saved food grain from the prior year , they plant it in the ground and they till it with a manual hand hoe .
quando eu era da vossa idade , nao sabiamos o que o universo iria fazer .	back when i was your age , we did n't know what the universe was going to do .
nao faz mal se recordarmos melhor tom hanks do que o astronauta jim lovell ou tivermos o rosto de ben kingsley sobreposto ao de gandhi .	and it 's okay if we remember tom hanks better than astronaut jim lovell or have ben kingsley 's face superimposed onto that of gandhi 's .
al gore : finalmente a alternativa positiva se mistura com o nosso desafio economico e o desafio da nossa seguranca nacional .	al gore : finally , the positive alternative meshes with our economic challenge and our national security challenge .
as alteracoes climaticas estao a afetar as nossas casas , as nossas comunidades , o nosso estilo de vida . deveriamos estar a preparar-nos a todos os niveis e a cada oportunidade .	climate change is affecting our homes , our communities , our way of life . we should be preparing at every scale and at every opportunity .
`` isso leva-me ao meu segundo `` '' slogan '' '' : `` e entao ? e agora ? '' ''	that brings me to my second slogan : so what ? now what ?
e depois tornou-se internacional . ( risos )	and then it went international . ( laughter )
e recentemente , nos anos 90 , no peru , as mulheres da regiao dos andes levavam anestesia e eram esterilizadas sem o saberem .	and as recently as the 1990s , in peru , women from the andes region were given anesthesia and they were sterilized without their knowledge .
o nivel mais fraco de resposta civil face a violencia e a negacao e a apatia .	the first level , the weakest level of civil response against violence , is denial and apathy .
mas a materialidade tambem importa , porque em qualquer sociedade que os antropologos investigaram , os bens materiais sao uma especie de linguagem — uma linguagem de bens , uma linguagem simbolica que utilizamos para contar historias uns aos outros — historias estas , por exemplo , de quao importante somos .	but the materiality matters too , because in every society that anthropologists have looked at , material stuff operates as a kind of language — a language of goods , a symbolic language that we use to tell each other stories — stories , for example , about how important we are .
ora , cada variavel fisiologica em que possam pensar , cada evento historico em que possam pensar , se o representarem desta maneira , tera este aspecto .	now any physiological variable you can think of , any life history event you can think of , if you plot it this way , looks like this .
que absurdo , nao e ?	so this is absurd , right ?
voz 4 : todo o extravazamento de afeicao e emocao que veio do nosso pais foi algo que ficara comigo para todo o sempre .	voice 4 : all the outpouring of affection and emotion that came from our country was something really that will forever , ever stay with me .
deixem-me agora voltar atras e dizer como foi bem mais diferente construir a buzzcar do que a zipcar . porque agora , cada coisa que fizemos tem um pouco dos dois corpos diferentes sobre os quais eu preciso de pensar : —os donos dos carros — e os condutores que os irao alugar .	so let me take you back how it 's so incredibly different building buzzcar than it was building zipcar , because now every single thing we do has these two different bodies that i have to be thinking about : the owners who are going to provide the cars and the drivers who are going to rent them .
regra simples numero um : entenda o que os outros fazem .	simple rule number one : understand what others do .
ha nova programabilidade nestes componentes .	there 's new programmability in these parts .
ca : 30 % por ano . ms : mas os apicultores dividem as colonias e assim conseguem manter o mesmo numero , conseguem recuperar parte das perdas .	ca : thirty percent a year . ms : but then beekeepers are able to divide their colonies and so they can maintain the same number , they can recuperate some of their loss .
mas , que outras coisas caracterizam a vida ?	but what else is life characterized by ?
a que e que teriam dito sim ?	what would you have said yes to ?
eu sou o elefante na sala .	i am the elephant in the room .
mas deixe-me mostrar-lhes um problema muito diferente .	but let me bring you to a very different problem .
esta e uma rede desenhada para reconhecer rostos , para distinguir um rosto de outro .	this is a network designed to recognize faces , to distinguish one face from another .
e se virem as tendencias aqui , por volta de 2008 , e nao penso que seja uma previsao louca representarao 2 % das vendas de carros .	and if you look at the trends here , by about 2008 — and i do n't think this is a crazy forecast — they 'll be two percent of auto sales .
ha algum tempo que e sabido que , se se prestar atencao ao carrier phase do sinal gps e se se tiver uma ligacao a internet , pode-se ir de uma precisao de metros para centimetros , ou ate milimetros de precisao .	for some time now , it 's been known that if you pay attention to the carrier phase of the gps signal , and if you have an internet connection , then you can go from meter level to centimeter level , even millimeter-level positioning .
nao requer a mecanica quantica para a explicar .	it does n't really require much in the way of quantum mechanics to explain it .
depois comecou a aplaudir .	and then he started clapping .
`` e eu : `` '' vieram ao sitio certo '' '' . ( risos ) criei isto com a minha mulher . ''	`` and i 'm like , `` '' you 've come to the right place . '' '' ( laughter ) i actually brought this up with my wife . ''
( video ) ( sons mecanicos ) ♫ e isso e tudo ♫ ♫ o que o amor e ♫ ♫ e vamo-nos lembrar ♫ ♫ quando acabar o tempo ♫ ♫ de que ele apenas ... ♫ ( risos ) as : contar uma historia sem dialogo .	( video ) ( mechanical sounds ) ♫ and that is all ♫ ♫ that love 's about ♫ ♫ and we 'll recall ♫ ♫ when time runs out ♫ ♫ that it only ♫ ( laughter ) as : storytelling without dialogue .
`` e muito bom — `` '' niveis e tendencias em mortalidade infantil '' '' — excepto esta pagina . ''	`` it 's very good — `` '' levels and trends in child mortality '' '' — except this page . ''
uma floresta pode ser uma parte integral da nossa existencia urbana .	a forest can be an integral part of our urban existence .
o que nao faz tanto sentido e que o universo , nos primordios , perto do big bang , era tambem muito , muito regular .	the thing that does n't make sense to us as much is that the universe , at early times , near the big bang , was also very , very smooth .
chama-se a maquina burocratica administrativa .	it 's called the bureaucratic administrative machine .
sem agua , as bacterias nao sobrevivem .	without water , the bacteria wo n't survive .
obrigado .	thank you .
`` na verdade , quando vi o `` '' supersize me - 30 dias de fast food '' '' , dei comigo a pensar : `` '' o que aconteceria `` se um individuo fizesse 31 dias de fox news , sem parar ? '' ''	`` in fact , when i saw `` '' supersize me , '' '' i starting thinking of saying , what would happen if an individual had 31 days nonstop fox news ? ''
( aplausos )	( applause )
o barco foi encontrado dois meses depois a deriva perto de franca .	they found her abandoned boat two months later adrift near france .
mas e um pouco similar ao que se ve com as vacinas .	but it is actually kind of similar to what you see in immune vaccines .
um rosto sem nome pode ajuda-los a sentirem-se um pouco menos ligados .	a face without a name might help them feel just a little less attached .
tambem temos de ter material organico , coisas que nos compoem , mas tambem coisas que precisamos de consumir .	we also have to have organic material — things that make us up , but also things that we need to consume .
e e um tipo de estrutura bastante incomum .	and it 's really an odd sort of structure .
alguma narrativa . arte interactiva . voces podem falar comigo .	somebody 's storytelling . interactive art . you can talk to me .
acho que temos de fazer algo relativamente a uma parte da cultura medica , que tem de mudar .	i think we have to do something about a piece of the culture of medicine that has to change .
podem sempre estar fenomenais por menos de 50 dolares .	you can almost always look phenomenal for under $ 50 .
o nosso objetivo e democratizar o processo da descoberta arqueologica e permitir que todos participem .	our goal is to democratize the process of archaeological discovery , and allow anyone to participate .
`` em hindu , sundar que dizer `` '' atraente '' '' . acredito que ha cinco licoes-chave que demonstrei neste slide que sao essencialmente importantes para a transferencia eficaz de tarefas . ''	`` what sundar stands for , in hindi , is `` '' attractive . '' '' it seems to me that there are five key lessons that i 've shown on this slide that are critically important for effective task shifting . ''
para sairem de um lugar de certeza , darem uma hipotese a alguem ou a algo desconhecido , vao precisar de forca para saltar sobre esse fosso , e essa forca excecional e a confianca .	for you to leap from a place of certainty , to take a chance on that someone or something unknown , you need a force to pull you over the gap , and that remarkable force is trust .
a sua religiao , a sua isolacao , o seu profundo respeito pela sua cultura e agora os principios de seu movimento fib todos geram um sentimento de gratidao sobre o que eles tem .	their religion , their isolation , their deep respect for their culture and now the principles of their gnh movement all have fostered a sense of gratitude about what they do have .
a goldman sachs previu que a china , a economia chinesa , ultrapassara a dos eua	goldman sachs has projected that china , the chinese economy , will surpass that of the u.s .
e isso permite-nos compreender quem esta a faze-lo bem , e chama-los , e perceber que tecnicas sao essas .	and that allows us to understand who 's doing it well , and call them out , and find out what those techniques are .
entao , fui contar as enfermeiras .	well , so i did tell the nurses .
imaginem , por favor , estas duas ideias juntas .	imagine , if you will , these two ideas together .
